Date,Notes,Bookmaker,Sport / League,Selection,Bet Type,My Variable,Fixture / Event,Stake,Odds (US),BB,Win
31-May-2024,87156327.25,FanDuel,NHL,Oilers Super Boost - Connor McDavid; Leon Draisaitl and Evan Bouchard to Each Record a Point,Triples,Boost,,25.00,+165,N,Y
31-May-2024,87120469.25,FanDuel,Unknown,Ke'Bryan Hayes - To Record 2+ Hits,Unknown,,,33.00,+260,N,N
31-May-2024,87119554.25,FanDuel,MLB,Walker Buehler 7+ Strikeouts - Walker Buehler - Alt Strikeouts,Over / Under,,,44.00,+164,N,Y
31-May-2024,87118386.25,FanDuel,MLB,Over - Los Angeles Angels Alt. Total Runs,Over / Under,,,52.00,+142,N,Y
31-May-2024,87088841.25,FanDuel,Tennis,Under 2.5 - Total Sets,Over / Under,,,82.00,-142,N,Y
30-May-2024,87020259.25,FanDuel,NBA,Mavs @ T'Wolves Boost - Anthony Edwards and Luka Doncic to Combine for 60+ Points,Unknown,Boost,,25.00,+155,N,Y
30-May-2024,87019905.25,FanDuel,MLB,D-Backs v Mets Boost - Gallen to Record 5+ Strikeouts and D-backs to Win,Winner,Boost,,50.00,+175,N,N
30-May-2024,87019798.25,FanDuel,MLB,Yankees @ Angels Boost - Aaron Judge to Hit a Home Run and Yankees to Win,To Hit Home Run,Boost,,47.00,+450,N,Y
29-May-2024,86904029.25,FanDuel,Golf,Home Cooking Odds Boost - Corey Conners to Record 67 or Better in Round 1,Unknown,Boost,,24.00,+150,N,N
29-May-2024,86853678.25,FanDuel,MLB,Birthday Boy Odds Boost - Paul Skenes to Record 7+ Strikeouts and Pirates Win Game 2 vs Tigers,Unknown,Boost,,50.00,+200,N,Y
